asi_id,name,state,region_or_circle,district,location,latitude,longitude,primary_image,image_url,wikimedia_commons_category,protection_status
N-DL-1,"Bastion, where a wall of Jahanpanah meets the wall of Rai Pithora fort.",Delhi,Delhi,Delhi,Adchini,28.5276,77.20252,"Bastion, where a wall of Jahanpanah meets the wall of Rai Pithora fort.jpg",https://commons.wikimedia.org/wiki/Special:FilePath/Bastion%2C_where_a_wall_of_Jahanpanah_meets_the_wall_of_Rai_Pithora_fort.jpg?width=640,Qila Rai Pithora,Centrally Protected Monument of National Importance (ASI)
N-DL-2,Ramp and gateway of Rai Pithora's Fort,Delhi,Delhi,Delhi,Adchini,28.52022,77.19973,Ramp Outer Wall of Lal kot and Rai Pithora.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Ramp_Outer_Wall_of_Lal_kot_and_Rai_Pithora.jpg?width=640,Qila Rai Pithora,Centrally Protected Monument of National Importance (ASI)
N-DL-3,Marble Tomb reputed to be that of Newab Bahadur Jawid Khan,Delhi,Delhi,Delhi,Aliganj,28.58086,77.21617,,,,Centrally Protected Monument of National Importance (ASI)
N-DL-4,"Lal Bangla, c. 1780",Delhi,Delhi,Delhi,Babarpur (Kaka  Nagar),28.60027,77.23816,Lal Bangla pict..JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Lal_Bangla_pict..JPG?width=640,Lal Bangla,Centrally Protected Monument of National Importance (ASI)
N-DL-5,Khair-ul-Manzil (also: Khairul Manazil or Khair-ul-Manajil). Built 1561 A.D.,Delhi,Delhi,Delhi,"Babarpur Bazipur (Kakanagar), opposite Purana Qila, Delhi",28.6074778,77.2393073,"Khairul Manazil, Purana Qila, Delhi.jpg",https://commons.wikimedia.org/wiki/Special:FilePath/Khairul_Manazil%2C_Purana_Qila%2C_Delhi.jpg?width=640,Khair-ul-Manzil,Centrally Protected Monument of National Importance (ASI)
N-DL-6,Kos Minar or Mughal Mile stone,Delhi,Delhi,Delhi,Babarpur Bazipur( Kakanagar),28.602424,77.245417,Mughal-era Kos Minar in the Delhi National Zoo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Mughal-era_Kos_Minar_in_the_Delhi_National_Zoo.jpg?width=640,"Kos Minar, Delhi",Centrally Protected Monument of National Importance (ASI)
N-DL-7,"The Moti Gate of Sher Shah Suri, Delhi. Currently missing {{cite web|last1=Sakorkar|first1=Aditya|title=12 historic monuments go missing in Delhi|url=http://www.sunday-guardian.com/investigation/12-historic-monuments-go-missing-in-delhi|website=The Sunday Guardian|access-date=8 May 2017|archive-date=9 May 2013|archive-url=https://web.archive.org/web/20130509235944/http://www.sunday-guardian.com/investigation/12-historic-monuments-go-missing-in-delhi|url-status=dead",Delhi,Delhi,,,,,,,,Centrally Protected Monument of National Importance (ASI)
N-DL-8,Begampuri Masjid,Delhi,Delhi,Delhi,"Begampur, in historic Jahanpanah",28.521,77.246,Begampur Masjid.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Begampur_Masjid.jpg?width=640,Begumpuri Masjid,Centrally Protected Monument of National Importance (ASI)
N-DL-9,Phool Chadar aqueduct near Najafgarh jhil aqueduct. Demolished in the 1970's.,Delhi,Delhi,Delhi,Chaukri Mubarakabad,,,,,,Centrally Protected Monument of National Importance (ASI)
N-DL-10,Lal Gumbad Maulana Abdul Hakim Tomb,Delhi,Delhi,Delhi,Chirag Delhi in Jahanpanah,28.545888020000,77.226296383,,,,Centrally Protected Monument of National Importance (ASI)
N-DL-11,Tomb of Bahlol Lodi. Built 1451 - 1488 A.D.,Delhi,Delhi,Delhi,"Chirag Delhi,  in Jahanpanah",28.5387,77.2265,Tomb of Bahlol Lodi.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Tomb_of_Bahlol_Lodi.JPG?width=640,Bahlul Lodi,Centrally Protected Monument of National Importance (ASI)
N-DL-12,Ajmeri Gate,Delhi,Delhi,Delhi,Bazar Ajmeri Gate,28.6462,77.2239,View of Ajmeri gate.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/View_of_Ajmeri_gate.JPG?width=640,Ajmeri Gate,Centrally Protected Monument of National Importance (ASI)
N-DL-13,Alipur  Cemetery. Destroyed in 1980's.,Delhi,Delhi,Delhi,Delhi-Alipur Camping group.,,,,,,Centrally Protected Monument of National Importance (ASI)
N-DL-14,Ashoka'a pillar,Delhi,Delhi,Delhi,Ferozabad (Ferozshah Kila (Feroz Shah Kotla or Vikram Nagar Colony),28.635826,77.245388,Ashokan pillar building.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Ashokan_pillar_building.jpg?width=640,"Ashoka pillar, Feroz Shah Kotla, Delhi",Centrally Protected Monument of National Importance (ASI)
N-DL-15,Barakhamba Cemetery. ('''Delisted'''),Delhi,Delhi,Delhi,Imperial City,,,,,,Centrally Protected Monument of National Importance (ASI)
N-DL-16,Chauburji. Built 1651 - 1388 A.D.,Delhi,Delhi,Delhi,Delhi ridge near Hindu Rao Hospital,28.6816,77.2152,Chauburji. Built on top.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Chauburji._Built_on_top.JPG?width=640,"Chauburji, Delhi",Centrally Protected Monument of National Importance (ASI)
N-DL-17,Eremo Cemetery,Delhi,Delhi,Delhi,near Kishanaganj Railway Station,28.63855,77.21219,,,,Centrally Protected Monument of National Importance (ASI)
N-DL-18,"Red Fort, which includes Naubat Khana, Diwan-i-Am, Mumtaz Mahal, Rang Mahal, Baithak, Muthamman Burj, Diwan-i-Khas, Moti Masjid, Sawan and Bhadon, Shahi Burj, Hammam with all surrounding including the gardens, paths, terraces and water courses. Built 1638 - 1648 CE",Delhi,Delhi,Old Delhi,Red Fort,28.655890,77.242016,Red Fort in Delhi 03-2016 img3.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Red_Fort_in_Delhi_03-2016_img3.jpg?width=640,Red Fort,Centrally Protected Monument of National Importance (ASI)
N-DL-19,Delhi Gate,Delhi,Delhi,Delhi,"Bahadur Shah Zafar Marg, Daryaganj",28.6411,77.2404,Delhi Gate.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Delhi_Gate.JPG?width=640,"Delhi Gate, Delhi",Centrally Protected Monument of National Importance (ASI)
N-DL-20,"Enclosure containing the grave of Lt. Edwards and others, killed in 1857.",Delhi,Delhi,Delhi,"North Delhi ridge near Flag Staff Tower, Civil Lines.",28.68897,77.21902,,,,Centrally Protected Monument of National Importance (ASI)
